# Simulation step:   952645
# The weights of TMMC are inactive
#
#   subEnsCoord   devFromMeanVisits      DOS       CM/dir_left      CM/stay      CM/dir_right
#
       0.000            0.000          0.00000      0.000e+00      1.054e+04      5.741e+03
       0.100            0.000         -2.56939      4.460e+02      7.896e+03      8.174e+03
       0.200            0.000        -10.50764      2.980e+00      8.393e+03      8.480e+03
       0.300            0.000        -24.27385      9.048e-03      8.524e+03      8.616e+03
       0.400            0.000        -44.41463      1.582e-05      8.832e+03      8.744e+03
       0.500            0.000        -70.17717      5.787e-08      8.930e+03      9.026e+03
       0.600            0.000       -102.40363      9.308e-11      9.124e+03      9.214e+03
       0.700            0.000       -140.49083      2.671e-13      9.156e+03      9.321e+03
       0.800            0.000       -185.33470      3.046e-16      9.074e+03      8.972e+03
       0.900            0.000       -236.14849      7.214e-19      8.538e+03      8.438e+03
       1.000            0.000       -298.93348      4.392e-24      1.635e+04      0.000e+00

